DATE,UofM_Consumer_Confidence,Private_Housing_Starts,Jobless_Claims,Retail_Sales,SP500,Capacity_Utilization,ISM_New_Orders,OECD_Leading_Index,Chicago_PMI,ISM_PMI_weird_pred,Date_+_nine_month,Actual_ISM,Regression_ISM
6/1/20,78.1,1266,1490250,474621,"3,104.66",69.9664,56.4,6255,36.6,60.8,2/1/21,52.6,60.8
7/1/20,72.5,1529,1383500,480461,"3,207.62",72.6784,61.5,5938,51.9,64.7,3/1/21,54.2,64.7
8/1/20,74.1,1377,922400,483280,"3,391.71",73.4452,67.6,5949,51.2,60.7,4/1/21,56,60.7
9/1/20,80.4,1463,851750,492411,"3,365.52",73.5298,60.2,6135,62.4,61.2,5/1/21,55.4,61.2
10/1/20,81.8,1537,795400,490482,"3,418.70",74.1142,67.9,5906,61.1,60.6,6/1/21,59.3,60.6
11/1/20,76.9,1545,751250,487824,"3,548.99",74.5927,65.1,5598,58.2,59.5,7/1/21,57.5,59.5
12/1/20,80.7,1663,836750,496423,"3,695.31",75.6169,67.9,5647,59.5,59.9,8/1/21,60.7,59.9
1/1/21,79,1602,827800,510740,"3,793.75",76.4136,61.1,5864,63.8,61.1,9/1/21,58.7,61.1
2/1/21,76.8,1422,755000,497758,"3,883.43",73.9408,64.8,6105,59.5,60.8,10/1/21,60.8,60.8
3/1/21,84.9,1700,669250,550349,"3,910.51",76.2498,68,6170,66.3,61.1,11/1/21,64.7,61.1
4/1/21,88.3,1484,589000,552575,"4,141.18",76.5375,64.3,6036,72.1,58.7,12/1/21,60.7,58.7
5/1/21,82.9,1600,469200,545282,"4,167.85",77.3697,67,6543,75.2,57.6,1/1/22,61.2,57.6
6/1/21,85.5,1661,410500,548414,"4,238.49",77.7972,66,6555,66.1,58.6,2/1/22,60.6,58.6
7/1/21,81.2,1593,363800,537466,"4,363.71",78.4064,64.9,6415,73.4,57.1,3/1/22,59.5,57.1
8/1/21,70.3,1576,349250,542966,"4,454.21",78.5176,66.7,6629,66.8,55.4,4/1/22,59.9,55.4
9/1/21,72.8,1560,340500,547197,"4,445.54",77.7675,66.7,6667,64.7,56.1,5/1/22,61.1,56.1
10/1/21,71.7,1572,283400,557190,"4,460.71",78.8064,59.8,6843,68.4,53,6/1/22,60.8,53
11/1/21,67.4,1712,239500,563358,"4,667.39",79.5489,61.5,6632,61.8,52.8,7/1/22,61.1,52.8
12/1/21,70.6,1787,214500,560896,"4,674.77",79.3243,60.4,6496,63.1,52.8,8/1/22,58.7,52.8
1/1/22,67.2,1669,237400,572415,"4,573.82",79.4322,57.9,6800,65.2,50.9,9/1/22,57.6,50.9
2/1/22,62.8,1771,222000,577933,"4,435.98",79.9253,61.7,6577,56.3,50.2,10/1/22,58.6,50.2
3/1/22,59.4,1713,218000,589238,"4,391.27",80.5162,53.8,6572,62.9,49,11/1/22,57.1,49
4/1/22,65.2,1803,215600,595371,"4,391.30",80.7112,53.5,6545,56.4,48.4,12/1/22,55.4,48.4
5/1/22,58.4,1543,212250,593733,"4,040.36",80.6275,55.1,6448,60.3,47.4,1/1/23,56.1,47.4
6/1/22,50,1561,216750,598405,"3,898.95",80.4742,49.2,6340,56,47.7,2/1/23,53,47.7
7/1/22,51.5,1371,215000,593452,"3,911.73",80.7318,48,6478,52.1,46.3,3/1/23,52.8,46.3
8/1/22,58.2,1505,210250,596848,"4,158.56",80.7118,51.3,6226,52.2,47.1,4/1/23,52.8,47.1
9/1/22,58.6,1463,190500,596156,"3,850.52",80.8369,47.1,6164,45.7,46.9,5/1/23,50.9,46.9
10/1/22,59.9,1432,201400,601983,"3,726.05",80.6377,49.2,6253,45.2,46,6/1/23,50.2,46
11/1/22,56.8,1427,212500,593090,"3,917.49",80.2626,47.2,6251,37.2,46.4,7/1/23,49,46.4
12/1/22,59.7,1357,210600,588540,"3,912.38",78.9195,45.2,6327,44.9,47.6,8/1/23,48.4,47.6
1/1/23,64.9,1340,199500,603211,"3,960.66",79.6374,42.5,6150,44.3,47.8,9/1/23,47.4,0
2/1/23,67,1436,218500,600669,"4,079.68",79.5454,47,6066,43.6,48.21,10/1/23,47.7,0
3/1/23,62,1380,242000,594281,"3,968.56",79.5118,44.3,6101,43.8,48.13,11/1/23,46.3,0
4/1/23,63.5,1348,237000,596809,"4,121.47",79.7715,45.7,6231,48.6,49.15,12/1/23,47.1,0
5/1/23,59.2,1583,229750,599958,"4,146.17",79.4081,42.6,5940,40.4,48.2,1/1/24,46.9,0
6/1/23,64.4,1398,256750,601433,"4,345.37",78.988,45.6,5773,41.5,49.15,2/1/24,46,0
7/1/23,71.6,1452,232400,605211,"4,508.08",79.4544,47.3,5940,42.8,49.12,3/1/24,46.4,0
,,,,,,,,,,,,,
